GNRs Volume (ml),CTAB Concentration (mM),TEOS Volume (μl),TEOS Concentration (vol%),TEOS Solvent,NaOH Concentration (M),Stirring Speed,Interval Time (min),Reaction  Volume (ml),Aging Time (h),Shell
10,2,300,0.25,异丙醇,0.05,1,30,15,12,0
10,4,300,0.25,异丙醇,0.05,1,30,15,12,0
10,6,300,0.25,异丙醇,0.05,1,30,15,12,0
10,8,300,0.25,异丙醇,0.05,1,30,15,12,0
10,10,300,0.25,异丙醇,0.05,1,30,15,12,0
10,2,300,0.25,异丙醇,0.1,1,30,15,12,0
10,4,300,0.25,异丙醇,0.1,1,30,15,12,0
10,6,300,0.25,异丙醇,0.1,1,30,15,12,0
10,8,300,0.25,异丙醇,0.1,1,30,15,12,0
10,10,300,0.25,异丙醇,0.1,1,30,15,12,0
10,2,300,0.2,异丙醇,0.1,1,30,15,12,0
10,4,300,0.2,异丙醇,0.1,1,30,15,12,0
10,6,300,0.2,异丙醇,0.1,1,30,15,12,0
10,8,300,0.2,异丙醇,0.1,1,30,15,12,0
10,10,300,0.2,异丙醇,0.1,1,30,15,12,0
10,2,200,0.25,异丙醇,0.1,1,30,15,18,0
10,4,200,0.25,异丙醇,0.1,1,30,15,18,0
10,6,200,0.25,异丙醇,0.1,1,30,15,18,0
10,8,200,0.25,异丙醇,0.1,1,30,15,18,0
10,10,200,0.25,异丙醇,0.1,1,30,15,18,0
10,2,250,0.25,异丙醇,0.1,1,30,15,18,0
10,4,250,0.25,异丙醇,0.1,1,30,15,18,0
10,6,250,0.25,异丙醇,0.1,1,30,15,18,0
10,8,250,0.25,异丙醇,0.1,1,30,15,18,0
10,10,250,0.25,异丙醇,0.1,1,30,15,18,0
10,2,250,0.2,异丙醇,0.1,1,30,15,18,0
10,4,250,0.2,异丙醇,0.1,1,30,15,18,0
10,6,250,0.2,异丙醇,0.1,1,30,15,18,0
10,8,250,0.2,异丙醇,0.1,1,30,15,18,0
10,10,250,0.2,异丙醇,0.1,1,30,15,18,0
10,2,200,0.25,异丙醇,0.1,1,30,15,14,1
10,4,200,0.25,异丙醇,0.1,1,30,15,14,0
10,6,200,0.25,异丙醇,0.1,1,30,15,14,0
10,8,200,0.25,异丙醇,0.1,1,30,15,14,0
10,10,200,0.25,异丙醇,0.1,1,30,15,14,0
10,2,250,0.25,异丙醇,0.1,1,30,15,14,1
10,4,250,0.25,异丙醇,0.1,1,30,15,14,0
10,6,250,0.25,异丙醇,0.1,1,30,15,14,1
10,8,250,0.25,异丙醇,0.1,1,30,15,14,0
10,10,250,0.25,异丙醇,0.1,1,30,15,14,0
10,2,250,0.2,异丙醇,0.1,1,30,15,14,0
10,4,250,0.2,异丙醇,0.1,1,30,15,14,0
10,6,250,0.2,异丙醇,0.1,1,30,15,14,0
10,8,250,0.2,异丙醇,0.1,1,30,15,14,1
10,10,250,0.2,异丙醇,0.1,1,30,15,14,0
30,1,300,0.25,乙醇,0.1,1,30,15,16,1
30,2,300,0.25,乙醇,0.1,1,30,15,16,1
30,3,300,0.25,乙醇,0.1,1,30,15,16,1
30,4,300,0.25,乙醇,0.1,1,30,15,16,1
30,5,300,0.25,乙醇,0.1,1,30,15,16,1
30,6,300,0.25,乙醇,0.1,1,30,15,16,1
30,7,300,0.25,乙醇,0.1,1,30,15,16,0
30,8,300,0.25,乙醇,0.1,1,30,15,16,1
30,9,300,0.25,乙醇,0.1,1,30,15,16,1
30,10,300,0.25,乙醇,0.1,1,30,15,16,1
30,11,300,0.25,乙醇,0.1,1,30,15,16,1
30,12,300,0.25,乙醇,0.1,1,30,15,16,0
30,13,300,0.25,乙醇,0.1,1,30,15,16,0
30,14,300,0.25,乙醇,0.1,1,30,15,16,0
30,15,300,0.25,乙醇,0.1,1,30,15,16,0
30,16,300,0.25,乙醇,0.1,1,30,15,12,0
30,17,300,0.25,乙醇,0.1,1,30,15,12,0
30,18,300,0.25,乙醇,0.1,1,30,15,12,1
30,19,300,0.25,乙醇,0.1,1,30,15,12,0
30,20,300,0.25,乙醇,0.1,1,30,15,12,0
10,1,50,0.25,乙醇,0.1,1,30,15,12,0
10,3,50,0.25,乙醇,0.1,1,30,15,12,0
10,5,50,0.25,乙醇,0.1,1,30,15,12,0
10,7,50,0.25,乙醇,0.1,1,30,15,12,0
10,9,50,0.25,乙醇,0.1,1,30,15,12,0
10,1,100,0.25,乙醇,0.1,1,30,15,12,0
10,3,100,0.25,乙醇,0.1,1,30,15,12,0
10,5,100,0.25,乙醇,0.1,1,30,15,12,0
10,7,100,0.25,乙醇,0.1,1,30,15,12,0
10,9,100,0.25,乙醇,0.1,1,30,15,12,0
10,1,150,0.25,乙醇,0.1,1,30,15,12,1
10,3,150,0.25,乙醇,0.1,1,30,15,12,0
10,5,150,0.25,乙醇,0.1,1,30,15,12,1
10,7,150,0.25,乙醇,0.1,1,30,15,12,0
10,9,150,0.25,乙醇,0.1,1,30,15,12,0
10,1,200,0.25,乙醇,0.1,1,30,15,12,1
10,3,200,0.25,乙醇,0.1,1,30,15,12,1
10,5,200,0.25,乙醇,0.1,1,30,15,12,1
10,7,200,0.25,乙醇,0.1,1,30,15,12,0
10,9,200,0.25,乙醇,0.1,1,30,15,12,0
10,1,250,0.25,乙醇,0.1,1,30,15,12,1
10,3,250,0.25,乙醇,0.1,1,30,15,12,1
10,5,250,0.25,乙醇,0.1,1,30,15,12,1
10,7,250,0.25,乙醇,0.1,1,30,15,12,0
10,9,250,0.25,乙醇,0.1,1,30,15,12,0
10,1,300,0.25,乙醇,0.1,1,30,15,12,1
10,3,300,0.25,乙醇,0.1,1,30,15,12,1
10,5,300,0.25,乙醇,0.1,1,30,15,12,1
10,7,300,0.25,乙醇,0.1,1,30,15,12,1
10,9,300,0.25,乙醇,0.1,1,30,15,12,1
10,1,200,0.25,乙醇,0.1,1,30,15,12,1
10,2,200,0.25,乙醇,0.1,1,30,15,12,1
20,1,200,0.25,乙醇,0.1,1,30,15,12,0
20,2,200,0.25,乙醇,0.1,1,30,15,12,0
20,3,200,0.25,乙醇,0.1,1,30,15,12,0
20,4,200,0.25,乙醇,0.1,1,30,15,12,0
20,5,200,0.25,乙醇,0.1,1,30,15,12,1
20,6,200,0.25,乙醇,0.1,1,30,15,12,0
20,7,200,0.25,乙醇,0.1,1,30,15,12,0
20,8,200,0.25,乙醇,0.1,1,30,15,12,0
20,9,200,0.25,乙醇,0.1,1,30,15,12,0
20,10,200,0.25,乙醇,0.1,1,30,15,12,0
20,1,300,0.25,乙醇,0.1,1,30,15,12,1
20,2,300,0.25,乙醇,0.1,1,30,15,12,1
20,3,300,0.25,乙醇,0.1,1,30,15,12,1
20,4,300,0.25,乙醇,0.1,1,30,15,12,1
20,5,300,0.25,乙醇,0.1,1,30,15,12,1
20,6,300,0.25,乙醇,0.1,1,30,15,12,1
20,7,300,0.25,乙醇,0.1,1,30,15,12,0
20,8,300,0.25,乙醇,0.1,1,30,15,12,0
20,9,300,0.25,乙醇,0.1,1,30,15,12,0
20,10,300,0.25,乙醇,0.1,1,30,15,12,1
30,1,200,0.25,乙醇,0.1,1,30,15,12,1
30,2,200,0.25,乙醇,0.1,1,30,15,12,0
30,3,200,0.25,乙醇,0.1,1,30,15,12,0
30,4,200,0.25,乙醇,0.1,1,30,15,12,0
30,5,200,0.25,乙醇,0.1,1,30,15,12,0
30,6,200,0.25,乙醇,0.1,1,30,15,12,0
30,7,200,0.25,乙醇,0.1,1,30,15,12,0
30,8,200,0.25,乙醇,0.1,1,30,15,12,0
30,9,200,0.25,乙醇,0.1,1,30,15,12,0
30,10,200,0.25,乙醇,0.1,1,30,15,12,0
30,1,300,0.25,乙醇,0.1,1,30,15,12,0
30,2,300,0.25,乙醇,0.1,1,30,15,12,1
30,3,300,0.25,乙醇,0.1,1,30,15,12,1
30,4,300,0.25,乙醇,0.1,1,30,15,12,0
30,5,300,0.25,乙醇,0.1,1,30,15,12,1
30,6,300,0.25,乙醇,0.1,1,30,15,12,1
30,7,300,0.25,乙醇,0.1,1,30,15,12,1
30,8,300,0.25,乙醇,0.1,1,30,15,12,1
30,9,300,0.25,乙醇,0.1,1,30,15,12,1
30,10,300,0.25,乙醇,0.1,1,30,15,12,1
10,0,200,0.25,乙醇,0.025,1,30,15,12,0
10,0,200,0.25,乙醇,0.05,1,30,15,12,
10,0,200,0.25,乙醇,0.1,1,30,15,12,
10,0,200,0.5,乙醇,0.025,1,30,15,12,
10,0,200,0.5,乙醇,0.05,1,30,15,12,
10,0,200,0.5,乙醇,0.1,1,30,15,12,
10,0,200,0.75,乙醇,0.025,1,30,15,12,
10,0,200,0.75,乙醇,0.05,1,30,15,12,
10,0,200,0.75,乙醇,0.1,1,30,15,12,0
10,0,100,0.25,乙醇,0.025,1,30,15,12,
10,0,100,0.25,乙醇,0.05,1,30,15,12,
10,0,100,0.25,乙醇,0.1,1,30,15,12,
10,0,100,0.5,乙醇,0.025,1,30,15,12,
10,0,100,0.5,乙醇,0.05,1,30,15,12,0
10,0,100,0.5,乙醇,0.1,1,30,15,12,
10,0,100,0.75,乙醇,0.025,1,30,15,12,
10,0,100,0.75,乙醇,0.05,1,30,15,12,
10,0,100,0.75,乙醇,0.1,1,30,15,12,
10,2,200,0.5,乙醇,0.025,1,30,15,12,
10,2,200,0.5,乙醇,0.05,1,30,15,12,
10,2,200,0.5,乙醇,0.1,1,30,15,12,0
10,2,200,0.75,乙醇,0.025,1,30,15,12,0
10,2,200,0.75,乙醇,0.05,1,30,15,12,1
10,2,200,0.75,乙醇,0.1,1,30,15,12,0
10,2,100,0.5,乙醇,0.025,1,30,15,12,
10,2,100,0.5,乙醇,0.05,1,30,15,12,0
10,2,100,0.5,乙醇,0.1,1,30,15,12,
10,2,100,0.75,乙醇,0.025,1,30,15,12,
10,2,100,0.75,乙醇,0.05,1,30,15,12,
10,2,100,0.75,乙醇,0.1,1,30,15,12,
10,0,100,0.25,乙醇,0.1,0,30,15,15,0
10,0,100,0.25,乙醇,0.1,1,30,15,15,0
10,0,100,0.25,乙醇,0.1,2,30,15,15,0
10,0,200,0.25,乙醇,0.1,0,30,15,15,
10,0,200,0.25,乙醇,0.1,1,30,15,15,0
10,0,200,0.25,乙醇,0.1,2,30,15,15,0
10,2,100,0.25,乙醇,0.1,0,30,15,15,0
10,2,100,0.25,乙醇,0.1,1,30,15,15,0
10,2,100,0.25,乙醇,0.1,2,30,15,15,0
10,2,200,0.25,乙醇,0.1,0,30,15,15,0
10,2,200,0.25,乙醇,0.1,1,30,15,15,0
10,2,200,0.25,乙醇,0.1,2,30,15,15,0
10,0,200,0.25,乙醇,0.1,1,30,30,15,0
10,0,200,0.25,乙醇,0.1,1,30,40,15,
10,0,200,0.25,乙醇,0.1,1,30,20,15,0
10,0,300,0.25,乙醇,0.1,1,30,30,15,0
10,0,300,0.25,乙醇,0.1,1,30,40,12,
10,0,300,0.25,乙醇,0.1,1,30,20,12,0
10,2,200,0.25,乙醇,0.1,1,30,30,12,0
10,2,200,0.25,乙醇,0.1,1,30,40,12,0
10,2,200,0.25,乙醇,0.1,1,30,20,12,0
10,2,300,0.25,乙醇,0.1,1,30,30,12,0
10,2,300,0.25,乙醇,0.1,1,30,40,12,0
10,2,300,0.25,乙醇,0.1,1,30,20,12,0
10,0,200,0.25,乙醇,0.1,1,20,15,12,0
10,0,200,0.25,乙醇,0.1,1,40,15,12,1
10,0,200,0.25,乙醇,0.1,1,50,15,12,1
10,0,300,0.25,乙醇,0.1,1,20,15,12,0
10,0,300,0.25,乙醇,0.1,1,40,15,12,0
10,0,300,0.25,乙醇,0.1,1,50,15,12,0
10,2,200,0.25,乙醇,0.1,1,20,15,12,0
10,2,200,0.25,乙醇,0.1,1,40,15,12,1
10,2,200,0.25,乙醇,0.1,1,50,15,12,1
10,2,300,0.25,乙醇,0.1,1,20,15,12,1
10,2,300,0.25,乙醇,0.1,1,40,15,12,1
10,2,300,0.25,乙醇,0.1,1,50,15,12,1
10,0,200,0.25,乙醇,0.1,1,30,15,6,
10,0,200,0.25,乙醇,0.1,1,30,15,9,0
10,0,200,0.25,乙醇,0.1,1,30,15,15,0
10,0,300,0.25,乙醇,0.1,1,30,15,6,
10,0,300,0.25,乙醇,0.1,1,30,15,9,0
10,0,300,0.25,乙醇,0.1,1,30,15,15,
10,2,200,0.25,乙醇,0.1,1,30,15,6,1
10,2,200,0.25,乙醇,0.1,1,30,15,9,1
10,2,200,0.25,乙醇,0.1,1,30,15,15,1
10,2,300,0.25,乙醇,0.1,1,30,15,6,0
10,2,300,0.25,乙醇,0.1,1,30,15,9,
10,2,300,0.25,乙醇,0.1,1,30,15,15,
